UserID,Age,Occupation,Primary_Work_Tool,Primary_Challenge,Primary_Challenge_Severity,Work_Challenges,Desired_Features,Tech_Comfort_Level,Willing_To_Pay,Will_Subscribe
U033,41,Analyst,Excel,Meeting_Interruptions,9,Meeting_Interruptions;Information_Overload;Poor_Time_Management,AI_Task_Nudge;Predictive_Insights;Team_Dashboard;Automatic_Breaks;Notification_Blocking;Productivity_Report;Distraction_Nudge,5,29,No
U034,25,Developer,Slack,Meeting_Interruptions,10,Meeting_Interruptions;Poor_Time_Management;Creative_Block,Predictive_Insights;Team_Dashboard;Automatic_Breaks;Adaptive_Music;Slack_Integration;Notification_Blocking,5,36,Yes
U035,29,Writer,Google_Docs,Creative_Block,7,Creative_Block;Distractions;Procrastination,Calendar_Integration;Adaptive_Music;Distraction_Nudge,3,19,No
U036,42,Analyst,PyCharm,Mental_Fatigue,5,Fatigue;Meeting_Interruptions,AI_Task_Nudge;Automatic_Breaks;Calendar_Integration,4,23,Yes
U037,21,Student,PyCharm,Mental_Fatigue,8,Fatigue;Procrastination;Distractions,AI_Task_Nudge;Predictive_Insights;Calendar_Integration;Slack_Integration;Focus_Music,3,16,No
U038,38,Developer,PyCharm,Creative_Block,8,Creative_Block;Distractions,AI_Task_Nudge;Slack_Integration;Adaptive_Music;Distraction_Nudge,4,28,Yes
U039,53,Writer,Google_Docs,Mental_Fatigue,1,Fatigue;Distractions;Creative_Block,Distraction_Nudge;Adaptive_Music;Focus_Music,2,8,No
U040,34,Developer,Slack,Procrastination,8,Procrastination;Distractions,Automatic_Breaks;Adaptive_Music;Slack_Integration;Productivity_Report;Distraction_Nudge,5,36,Yes
U041,24,Developer,Jupyter,Information_Overload,6,Information_Overload;Distractions;Fatigue,Slack_Integration;AI_Task_Nudge;Notification_Blocking,4,22,Yes
U042,24,Developer,Jupyter,Mental_Fatigue,1,Fatigue;Meeting_Interruptions;Distractions,Calendar_Integration;Slack_Integration;Adaptive_Music,4,10,No
U043,40,Developer,Slack,Creative_Block,3,Creative_Block;Fatigue;Distractions,Focus_Music;Notification_Blocking;Adaptive_Music;Productivity_Report,4,21,Yes
U044,32,Analyst,Notion,Creative_Block,7,Creative_Block;Distractions;Fatigue,Slack_Integration;Adaptive_Music;Productivity_Report,3,21,Yes
U045,42,Writer,Google_Docs,Information_Overload,2,Information_Overload;Distractions,Automatic_Breaks;Distraction_Nudge;Focus_Music,4,17,Yes
U046,19,Student,Notion,Meeting_Interruptions,8,Meeting_Interruptions;Fatigue,AI_Task_Nudge;Automatic_Breaks;Adaptive_Music;Notification_Blocking;Productivity_Report;Focus_Music,3,11,Yes
U047,31,Researcher,Jupyter,Mental_Fatigue,5,Fatigue;Poor_Time_Management,Team_Dashboard;Productivity_Report,4,20,Yes
U048,26,Analyst,Notion,Mental_Fatigue,9,Fatigue;Information_Overload;Distractions,Predictive_Insights;Automatic_Breaks;Calendar_Integration;Adaptive_Music;Notification_Blocking;Slack_Integration;Productivity_Report;Focus_Music,3,27,Yes
U049,45,Designer,Jupyter,Information_Overload,7,Information_Overload;Meeting_Interruptions,Predictive_Insights;Team_Dashboard;Adaptive_Music,5,27,Yes
U050,34,Analyst,Notion,Mental_Fatigue,8,Fatigue;Information_Overload;Distractions,Predictive_Insights;Team_Dashboard;Adaptive_Music;Distraction_Nudge;Notification_Blocking;Productivity_Report;Focus_Music,3,25,Yes
U051,30,Analyst,Trello,Constant_Distractions,9,Distractions;Fatigue,AI_Task_Nudge;Predictive_Insights;Calendar_Integration;Slack_Integration;Notification_Blocking;Productivity_Report;Focus_Music,3,30,Yes
U052,48,Analyst,Excel,Mental_Fatigue,9,Fatigue;Distractions;Information_Overload,AI_Task_Nudge;Automatic_Breaks;Distraction_Nudge;Slack_Integration;Productivity_Report;Focus_Music,5,27,Yes
U053,40,Researcher,Excel,Creative_Block,10,Creative_Block;Poor_Time_Management;Fatigue,Predictive_Insights;Team_Dashboard;Automatic_Breaks;Adaptive_Music;Productivity_Report;Distraction_Nudge,4,31,Yes
U054,37,Developer,VS_Code,Constant_Distractions,8,Distractions;Poor_Time_Management,AI_Task_Nudge;Adaptive_Music;Distraction_Nudge;Productivity_Report;Focus_Music,4,29,Yes
U055,37,Researcher,Word,Constant_Distractions,5,Distractions;Creative_Block;Fatigue,Focus_Music;Slack_Integration;Adaptive_Music;Distraction_Nudge,5,27,Yes
U056,31,Manager,Excel,Creative_Block,4,Creative_Block;Information_Overload;Meeting_Interruptions;Distractions,Calendar_Integration;Predictive_Insights;Team_Dashboard;Productivity_Report,4,11,Yes
U057,59,Researcher,Word,Creative_Block,6,Creative_Block;Information_Overload;Procrastination,Slack_Integration;Predictive_Insights;Adaptive_Music,4,24,Yes
U058,57,Researcher,Word,Meeting_Interruptions,8,Meeting_Interruptions;Creative_Block,Team_Dashboard;Automatic_Breaks;Calendar_Integration;Distraction_Nudge;Productivity_Report;Focus_Music,5,29,Yes
U059,19,Student,Word,Meeting_Interruptions,8,Meeting_Interruptions;Distractions;Fatigue,AI_Task_Nudge;Calendar_Integration;Adaptive_Music;Slack_Integration;Productivity_Report;Focus_Music,5,21,Yes
U060,19,Student,Excel,Information_Overload,9,Information_Overload;Creative_Block;Distractions,AI_Task_Nudge;Calendar_Integration;Adaptive_Music;Notification_Blocking;Slack_Integration;Productivity_Report;Distraction_Nudge,3,16,Yes
U061,28,Consultant,Google_Docs,Information_Overload,5,Information_Overload;Fatigue;Procrastination;Creative_Block,Automatic_Breaks;Notification_Blocking;Productivity_Report,4,16,Yes
U062,59,Manager,Slack,Procrastination,3,Procrastination;Poor_Time_Management;Distractions,Slack_Integration;Team_Dashboard;Productivity_Report,2,5,Yes
U063,25,Student,Google_Docs,Meeting_Interruptions,4,Meeting_Interruptions;Procrastination;Fatigue,AI_Task_Nudge;Calendar_Integration;Focus_Music,3,11,Yes
U064,32,Analyst,Notion,Meeting_Interruptions,7,Meeting_Interruptions;Distractions;Creative_Block,AI_Task_Nudge;Automatic_Breaks;Adaptive_Music;Slack_Integration;Notification_Blocking,5,28,Yes
U065,36,Analyst,Excel,Information_Overload,7,Information_Overload;Distractions;Fatigue,AI_Task_Nudge;Automatic_Breaks;Adaptive_Music;Slack_Integration;Distraction_Nudge,5,30,Yes
U066,24,Developer,PyCharm,Information_Overload,8,Information_Overload;Fatigue;Creative_Block,AI_Task_Nudge;Adaptive_Music;Notification_Blocking;Productivity_Report;Focus_Music,4,23,Yes
U067,36,Developer,Jupyter,Constant_Distractions,4,Distractions;Creative_Block;Meeting_Interruptions,Slack_Integration;Notification_Blocking,5,23,Yes
U068,52,Writer,Figma,Constant_Distractions,8,Distractions;Procrastination,Team_Dashboard;Automatic_Breaks;Adaptive_Music;Slack_Integration;Productivity_Report;Focus_Music,3,23,Yes
U069,43,Developer,VS_Code,Information_Overload,7,Information_Overload;Procrastination;Poor_Time_Management,Calendar_Integration;Slack_Integration;Productivity_Report;Distraction_Nudge,5,34,Yes
U070,28,Student,Google_Docs,Mental_Fatigue,10,Fatigue;Procrastination;Distractions,AI_Task_Nudge;Predictive_Insights;Team_Dashboard;Slack_Integration;Distraction_Nudge,5,25,Yes
U071,49,Researcher,Notion,Mental_Fatigue,6,Fatigue;Information_Overload,Predictive_Insights;Productivity_Report,5,28,Yes
U072,29,Developer,PyCharm,Constant_Distractions,9,Distractions;Fatigue;Meeting_Interruptions,Predictive_Insights;Team_Dashboard;Automatic_Breaks;Adaptive_Music;Focus_Music;Notification_Blocking;Productivity_Report;Distraction_Nudge,4,36,Yes
U073,31,Writer,Google_Docs,Constant_Distractions,7,Distractions;Procrastination;Creative_Block,AI_Task_Nudge;Team_Dashboard;Productivity_Report;Distraction_Nudge,4,22,Yes
U074,28,Student,Google_Docs,Procrastination,10,Procrastination;Distractions,AI_Task_Nudge;Team_Dashboard;Automatic_Breaks;Calendar_Integration;Slack_Integration;Productivity_Report;Focus_Music,5,23,Yes
U075,28,Student,Excel,Mental_Fatigue,7,Fatigue;Distractions;Information_Overload,AI_Task_Nudge;Predictive_Insights;Team_Dashboard;Adaptive_Music;Slack_Integration;Focus_Music,3,16,Yes
U076,56,Manager,Excel,Information_Overload,9,Information_Overload;Poor_Time_Management,Team_Dashboard;Calendar_Integration;Adaptive_Music;Slack_Integration;Notification_Blocking;Productivity_Report;Focus_Music,2,21,No
U077,46,Researcher,Word,Information_Overload,4,Information_Overload;Poor_Time_Management;Fatigue,AI_Task_Nudge;Automatic_Breaks;Predictive_Insights;Adaptive_Music,4,26,Yes
U078,26,Student,Notion,Creative_Block,7,Creative_Block;Poor_Time_Management;Procrastination,AI_Task_Nudge;Calendar_Integration;Slack_Integration;Productivity_Report;Focus_Music,3,17,No
U079,31,Developer,Slack,Information_Overload,7,Information_Overload;Fatigue,Predictive_Insights;Adaptive_Music;Slack_Integration;Notification_Blocking;Distraction_Nudge,5,27,Yes
U080,39,Developer,Slack,Procrastination,7,Procrastination;Meeting_Interruptions;Distractions,Adaptive_Music;Notification_Blocking;Productivity_Report;Distraction_Nudge,5,31,Yes
U081,26,Analyst,Excel,Mental_Fatigue,6,Fatigue;Distractions;Information_Overload,AI_Task_Nudge;Predictive_Insights;Adaptive_Music;Distraction_Nudge,3,20,No
U082,33,Researcher,Slack,Meeting_Interruptions,3,Meeting_Interruptions;Information_Overload;Fatigue,Predictive_Insights;Automatic_Breaks;Notification_Blocking,5,23,No
U083,26,Developer,VS_Code,Information_Overload,6,Information_Overload;Distractions,Distraction_Nudge;Notification_Blocking;Productivity_Report;Focus_Music,4,22,Yes
U084,25,Developer,Word,Constant_Distractions,6,Distractions;Meeting_Interruptions,AI_Task_Nudge;Calendar_Integration;Slack_Integration;Distraction_Nudge,5,24,Yes
U085,24,Student,Word,Meeting_Interruptions,8,Meeting_Interruptions;Distractions;Poor_Time_Management,AI_Task_Nudge;Team_Dashboard;Calendar_Integration;Adaptive_Music;Productivity_Report;Distraction_Nudge,4,14,Yes
U086,21,Student,Notion,Procrastination,9,Procrastination;Creative_Block,AI_Task_Nudge;Automatic_Breaks;Distraction_Nudge;Notification_Blocking;Productivity_Report;Focus_Music,5,20,Yes
U087,33,Developer,Slack,Information_Overload,8,Information_Overload;Fatigue;Distractions,Team_Dashboard;Automatic_Breaks;Calendar_Integration;Notification_Blocking;Productivity_Report;Focus_Music,5,26,Yes
U088,47,Consultant,Excel,Procrastination,6,Procrastination;Information_Overload;Fatigue,AI_Task_Nudge;Automatic_Breaks;Notification_Blocking;Productivity_Report;Focus_Music,3,20,No
U089,19,Student,Word,Mental_Fatigue,7,Fatigue;Information_Overload;Distractions,AI_Task_Nudge;Calendar_Integration;Adaptive_Music;Notification_Blocking;Distraction_Nudge,4,14,Yes
U090,53,Consultant,Notion,Constant_Distractions,5,Distractions;Meeting_Interruptions;Fatigue,Predictive_Insights;Team_Dashboard;Automatic_Breaks;Calendar_Integration;Slack_Integration,4,21,Yes
U091,38,Developer,Excel,Procrastination,8,Procrastination;Meeting_Interruptions;Distractions,AI_Task_Nudge;Adaptive_Music;Slack_Integration;Notification_Blocking;Productivity_Report,5,35,Yes
U092,24,Student,Google_Docs,Information_Overload,7,Information_Overload;Fatigue;Procrastination,AI_Task_Nudge;Calendar_Integration;Notification_Blocking;Focus_Music,5,14,Yes
U093,21,Student,Excel,Mental_Fatigue,6,Fatigue;Poor_Time_Management;Distractions,Automatic_Breaks;Calendar_Integration;Notification_Blocking;Productivity_Report;Distraction_Nudge,4,12,No
U094,57,Manager,Excel,Creative_Block,3,Creative_Block;Meeting_Interruptions;Poor_Time_Management,Predictive_Insights;Team_Dashboard;Calendar_Integration;Productivity_Report;Focus_Music,4,11,No
U095,35,Designer,Slack,Creative_Block,8,Creative_Block;Distractions;Meeting_Interruptions,AI_Task_Nudge;Adaptive_Music;Distraction_Nudge;Notification_Blocking;Slack_Integration;Productivity_Report;Focus_Music,3,28,Yes
U096,23,Student,Word,Mental_Fatigue,9,Fatigue;Procrastination;Distractions,AI_Task_Nudge;Predictive_Insights;Automatic_Breaks;Adaptive_Music;Notification_Blocking;Productivity_Report;Focus_Music,4,18,No
U097,43,Consultant,Excel,Information_Overload,5,Information_Overload;Creative_Block,AI_Task_Nudge;Automatic_Breaks;Focus_Music;Productivity_Report;Distraction_Nudge,4,20,No
U098,35,Developer,VS_Code,Information_Overload,10,Information_Overload;Fatigue,Automatic_Breaks;Adaptive_Music;Notification_Blocking;Productivity_Report;Distraction_Nudge,5,37,Yes
U099,45,Developer,Slack,Information_Overload,5,Information_Overload;Meeting_Interruptions;Distractions,Calendar_Integration;Notification_Blocking;Team_Dashboard;Productivity_Report,4,28,Yes
U100,30,Analyst,Notion,Constant_Distractions,5,Distractions;Fatigue,Automatic_Breaks;Notification_Blocking;Team_Dashboard,5,22,Yes
U101,41,Analyst,Jupyter,Creative_Block,9,Creative_Block;Fatigue;Distractions,Predictive_Insights;Team_Dashboard;Calendar_Integration;Adaptive_Music;Slack_Integration;Notification_Blocking;Productivity_Report;Distraction_Nudge,5,34,Yes
U102,27,Student,Notion,Creative_Block,6,Creative_Block;Distractions;Procrastination;Fatigue,AI_Task_Nudge;Predictive_Insights;Calendar_Integration;Distraction_Nudge;Productivity_Report;Focus_Music,4,19,No
U103,33,Manager,Notion,Creative_Block,8,Creative_Block;Information_Overload,Calendar_Integration;Adaptive_Music;Slack_Integration;Productivity_Report;Focus_Music,3,16,Yes
U104,39,Researcher,Jupyter,Procrastination,8,Procrastination;Information_Overload,Predictive_Insights;Calendar_Integration;Adaptive_Music;Slack_Integration;Notification_Blocking;Focus_Music,4,32,Yes
U105,32,Writer,Google_Docs,Procrastination,5,Procrastination;Creative_Block;Distractions;Poor_Time_Management,Calendar_Integration;Predictive_Insights;Distraction_Nudge;Focus_Music,4,20,Yes
U106,56,Manager,Excel,Meeting_Interruptions,9,Meeting_Interruptions;Poor_Time_Management;Creative_Block,Calendar_Integration;Adaptive_Music;Focus_Music;Notification_Blocking;Productivity_Report;Distraction_Nudge,3,19,No
U107,38,Manager,Slack,Procrastination,7,Procrastination;Meeting_Interruptions;Poor_Time_Management,AI_Task_Nudge;Calendar_Integration;Team_Dashboard;Focus_Music,4,22,No
U108,39,Developer,Excel,Creative_Block,10,Creative_Block;Distractions;Fatigue;Meeting_Interruptions,AI_Task_Nudge;Team_Dashboard;Automatic_Breaks;Calendar_Integration;Adaptive_Music;Distraction_Nudge;Notification_Blocking;Productivity_Report,4,39,Yes
U109,44,Developer,VS_Code,Information_Overload,7,Information_Overload;Fatigue;Procrastination,Notification_Blocking;Predictive_Insights;Productivity_Report,4,28,No
U110,33,Developer,VS_Code,Constant_Distractions,7,Distractions;Meeting_Interruptions;Fatigue,Predictive_Insights;Calendar_Integration;Slack_Integration;Productivity_Report;Distraction_Nudge,4,26,Yes
U111,32,Developer,VS_Code,Constant_Distractions,8,Distractions;Fatigue;Meeting_Interruptions,Predictive_Insights;Calendar_Integration;Adaptive_Music;Slack_Integration;Notification_Blocking;Productivity_Report;Distraction_Nudge,4,28,Yes
U112,27,Designer,Slack,Meeting_Interruptions,5,Meeting_Interruptions;Fatigue,Automatic_Breaks;Notification_Blocking;Adaptive_Music,3,19,Yes
U113,38,Developer,PyCharm,Mental_Fatigue,6,Fatigue;Meeting_Interruptions;Distractions,Notification_Blocking;Predictive_Insights;Team_Dashboard;Productivity_Report,4,28,Yes
U114,24,Student,Google_Docs,Information_Overload,8,Information_Overload;Procrastination,AI_Task_Nudge;Calendar_Integration;Adaptive_Music;Focus_Music;Notification_Blocking;Productivity_Report;Distraction_Nudge,3,17,Yes
U115,26,Student,Word,Mental_Fatigue,6,Fatigue;Distractions,Automatic_Breaks;Adaptive_Music;Notification_Blocking;Productivity_Report;Focus_Music,5,20,Yes
U116,28,Developer,Slack,Procrastination,7,Procrastination;Fatigue,AI_Task_Nudge;Automatic_Breaks;Calendar_Integration;Slack_Integration;Notification_Blocking;Productivity_Report,5,29,Yes
U117,53,Writer,Word,Information_Overload,8,Information_Overload;Procrastination;Poor_Time_Management,AI_Task_Nudge;Automatic_Breaks;Calendar_Integration;Adaptive_Music;Focus_Music;Notification_Blocking;Distraction_Nudge,4,23,Yes
U118,30,Researcher,Excel,Mental_Fatigue,3,Fatigue;Information_Overload;Poor_Time_Management,Predictive_Insights;Automatic_Breaks;Calendar_Integration;Productivity_Report;Focus_Music,4,20,Yes
U119,34,Manager,Slack,Constant_Distractions,8,Distractions;Poor_Time_Management;Procrastination;Meeting_Interruptions,AI_Task_Nudge;Automatic_Breaks;Calendar_Integration;Focus_Music,4,20,No
U120,55,Manager,Excel,Creative_Block,7,Creative_Block;Poor_Time_Management;Procrastination,AI_Task_Nudge;Calendar_Integration;Notification_Blocking;Productivity_Report;Distraction_Nudge,3,17,No
U121,41,Designer,Figma,Information_Overload,10,Information_Overload;Fatigue,Predictive_Insights;Automatic_Breaks;Adaptive_Music;Distraction_Nudge;Notification_Blocking;Slack_Integration;Focus_Music,5,36,Yes
U122,24,Developer,VS_Code,Information_Overload,1,Information_Overload;Distractions;Poor_Time_Management;Procrastination,Calendar_Integration;Slack_Integration;Notification_Blocking;Productivity_Report;Focus_Music,5,18,Yes
U123,29,Developer,VS_Code,Mental_Fatigue,8,Fatigue;Meeting_Interruptions;Information_Overload,AI_Task_Nudge;Team_Dashboard;Automatic_Breaks;Notification_Blocking;Productivity_Report;Focus_Music,5,30,Yes
U124,33,Developer,Jupyter,Procrastination,7,Procrastination;Fatigue;Poor_Time_Management,AI_Task_Nudge;Calendar_Integration;Slack_Integration;Notification_Blocking;Distraction_Nudge,5,26,Yes
U125,40,Developer,Google_Docs,Meeting_Interruptions,8,Meeting_Interruptions;Distractions,AI_Task_Nudge;Automatic_Breaks;Calendar_Integration;Slack_Integration;Productivity_Report;Distraction_Nudge,5,35,Yes
U126,32,Consultant,Slack,Information_Overload,6,Information_Overload;Fatigue;Meeting_Interruptions,AI_Task_Nudge;Automatic_Breaks;Predictive_Insights;Team_Dashboard,3,16,No
U127,44,Consultant,Notion,Procrastination,9,Procrastination;Information_Overload;Distractions,AI_Task_Nudge;Team_Dashboard;Automatic_Breaks;Calendar_Integration;Notification_Blocking;Productivity_Report,3,26,Yes
U128,32,Writer,Notion,Procrastination,10,Procrastination;Meeting_Interruptions,AI_Task_Nudge;Team_Dashboard;Automatic_Breaks;Calendar_Integration;Slack_Integration,4,29,Yes
U129,24,Designer,Trello,Creative_Block,7,Creative_Block;Meeting_Interruptions;Distractions,AI_Task_Nudge;Predictive_Insights;Adaptive_Music;Distraction_Nudge,4,20,Yes
U130,44,Developer,Trello,Procrastination,7,Procrastination;Distractions;Poor_Time_Management,Predictive_Insights;Slack_Integration;Productivity_Report,4,28,Yes
U131,25,Developer,Jupyter,Procrastination,7,Procrastination;Distractions,Distraction_Nudge;Slack_Integration;Notification_Blocking;Productivity_Report;Focus_Music,5,28,Yes
U132,35,Consultant,VS_Code,Constant_Distractions,9,Distractions;Fatigue;Creative_Block,AI_Task_Nudge;Predictive_Insights;Automatic_Breaks;Calendar_Integration;Distraction_Nudge;Notification_Blocking;Productivity_Report;Focus_Music,4,30,No
U133,59,Manager,Trello,Meeting_Interruptions,6,Meeting_Interruptions;Information_Overload,Calendar_Integration;Notification_Blocking;Distraction_Nudge,3,13,No
U134,28,Student,Word,Information_Overload,6,Information_Overload;Distractions;Fatigue,Automatic_Breaks;Calendar_Integration;Predictive_Insights;Distraction_Nudge,4,13,No
U135,24,Developer,Jupyter,Procrastination,7,Procrastination;Distractions;Poor_Time_Management,Notification_Blocking;Productivity_Report;Distraction_Nudge,4,21,Yes
U136,27,Developer,Jupyter,Creative_Block,10,Creative_Block;Meeting_Interruptions;Fatigue,AI_Task_Nudge;Slack_Integration;Adaptive_Music;Distraction_Nudge,4,28,Yes
U137,42,Analyst,Excel,Procrastination,4,Procrastination;Distractions;Fatigue,Automatic_Breaks;Notification_Blocking;Productivity_Report,3,17,Yes
U138,29,Designer,Figma,Meeting_Interruptions,8,Meeting_Interruptions;Distractions;Creative_Block,AI_Task_Nudge;Predictive_Insights;Team_Dashboard;Calendar_Integration;Adaptive_Music;Distraction_Nudge;Focus_Music,4,29,Yes
U139,48,Analyst,Google_Docs,Constant_Distractions,7,Distractions;Fatigue,AI_Task_Nudge;Automatic_Breaks;Notification_Blocking;Distraction_Nudge,4,25,Yes
U140,20,Student,Jupyter,Creative_Block,8,Creative_Block;Fatigue;Distractions,AI_Task_Nudge;Predictive_Insights;Calendar_Integration;Adaptive_Music;Distraction_Nudge;Focus_Music,4,15,Yes
U141,39,Developer,PyCharm,Mental_Fatigue,2,Fatigue;Distractions,Notification_Blocking,4,21,No
U142,40,Developer,PyCharm,Creative_Block,8,Creative_Block;Distractions,AI_Task_Nudge;Automatic_Breaks;Adaptive_Music;Notification_Blocking;Slack_Integration;Productivity_Report,4,32,Yes
U143,39,Analyst,VS_Code,Constant_Distractions,6,Distractions;Information_Overload,Notification_Blocking;Calendar_Integration;Slack_Integration;Productivity_Report,3,23,Yes
U144,25,Student,Google_Docs,Creative_Block,7,Creative_Block;Meeting_Interruptions,Slack_Integration;Distraction_Nudge,5,22,No
U145,31,Analyst,Notion,Mental_Fatigue,8,Fatigue;Information_Overload;Distractions,Predictive_Insights;Automatic_Breaks;Focus_Music;Notification_Blocking;Slack_Integration;Productivity_Report;Distraction_Nudge,4,27,Yes
U146,26,Writer,Google_Docs,Information_Overload,8,Information_Overload;Procrastination;Distractions,AI_Task_Nudge;Predictive_Insights;Calendar_Integration;Focus_Music;Notification_Blocking;Distraction_Nudge,3,20,No
U147,19,Student,Google_Docs,Creative_Block,7,Creative_Block;Fatigue,Distraction_Nudge;Adaptive_Music;Productivity_Report,4,12,No
